Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Felipinho,BRA,MF,Athletico Paranaense,22,10.3,3,0,0,22,15,0,8,21,36,,,0
Danilo Fernandes,BRA,GK,Bahia,35,1.0,1,0,0,0,2,0,0,0,0,,,0
Lucas Fernandes,BRA,MF,CuiabГЎ,26,11.5,3,0,0,12,16,0,22,9,12,,,0
Matheus Fernandes,BRA,MF,RB Bragantino,25,9.4,5,0,0,21,11,0,2,23,32,,,0
Nathan Fernandes,BRA,MF,GrГЄmio,18,6.0,3,0,0,10,14,1,3,4,6,,,0
Gatito FernГЎndez,PAR,GK,Botafogo (RJ),35,4.0,1,0,0,0,0,0,0,0,0,,,0
Fernandinho,BRA,MF,Athletico Paranaense,38,17.2,8,0,0,33,23,1,45,9,21,,,0
Fernando,BRA,"DF,MF",Athletico Paranaense,24,8.0,4,0,0,13,9,1,31,17,4,,,0
Fernando,BRA,"MF,DF",Internacional,36,17.2,7,0,0,25,8,2,0,23,22,,,0
Luiz Fernando,BRA,"MF,FW",AtlГ©tico Goianiense,27,28.8,10,1,1,27,50,11,28,16,18,,,0
Nahuel Ferraresi,VEN,DF,SГЈo Paulo,25,10.0,2,0,0,10,4,0,10,5,17,,,0
Ferreira,BRA,"MF,FW",SГЈo Paulo,26,13.7,4,0,0,14,41,1,71,6,20,,,0
Tobias Figueiredo,POR,DF,CriciГєma,29,23.0,6,0,0,18,8,0,0,26,13,,,1
Ryan Francisco,BRA,FW,SГЈo Paulo,17,0.0,0,0,0,0,0,0,0,0,0,,,0
Alan Franco,ECU,MF,AtlГ©tico Mineiro,25,18.1,5,0,0,32,13,0,10,22,20,,,0
Alan Franco,ARG,DF,SГЈo Paulo,27,24.3,6,1,0,18,7,1,2,14,17,,,1
Gonzalo Freitas,URU,MF,AtlГ©tico Goianiense,32,9.1,7,0,0,23,7,1,1,13,11,,,0
Lucas Freitas,BRA,DF,Juventude,23,14.0,3,1,1,11,4,1,3,16,8,,,0
Marlon Freitas,BRA,MF,Botafogo (RJ),28,26.9,6,0,0,25,7,1,19,19,27,,,0
Bruno Fuchs,BRA,DF,AtlГ©tico Mineiro,24,22.6,9,1,1,25,14,0,14,28,25,,,0
Gabriel Fuentes,COL,DF,Fluminense,26,2.4,1,0,0,3,0,0,3,1,2,,,0
Gabriel,BRA,DF,Bahia,22,35.0,8,0,0,41,12,0,3,58,42,,,0
Gabriel,BRA,MF,Fluminense,30,2.6,1,0,0,8,5,1,3,10,7,,,0
Gabriel,BRA,GK,Juventude,31,33.5,5,1,0,2,5,0,0,0,0,,,0
Marquinhos Gabriel,BRA,MF,CriciГєma,33,11.1,4,0,0,7,13,4,22,5,6,,,0
Tevis Gabriel,BRA,MF,Cruzeiro,18,1.6,0,0,0,0,2,2,0,0,0,,,0
ZГ© Gabriel,BRA,MF,Vasco da Gama,25,5.1,3,0,0,13,6,0,1,6,10,,,0
Pablo Galdames MillГЎn,CHI,MF,Vasco da Gama,27,12.8,5,0,0,33,11,1,19,12,18,,,0
Giuliano Galoppo,ARG,MF,SГЈo Paulo,24,4.3,2,0,0,8,7,0,6,5,2,,,0
LГ©o Gamalho,BRA,FW,VitГіria,38,0.2,0,0,0,0,0,0,0,0,0,,,0
Mateo Gamarra,PAR,DF,Athletico Paranaense,23,16.5,7,0,0,15,7,0,3,24,17,,,0
Ganso,BRA,MF,Fluminense,34,25.0,12,1,0,19,37,2,77,14,23,,,0
GarcГ­a,BRA,DF,Palmeiras,22,0.1,0,0,0,0,0,3,0,0,0,,,0
Luan Garcia,BRA,DF,Palmeiras,30,2.6,0,0,0,3,3,0,0,2,1,,,0
